PARAMETER,YEAR,LAT,LON,ANN-Temp
T2M,2010,-10,33.125,21.52
T2M,2010,-10,33.75,22.94
T2M,2010,-10,34.375,25.22
T2M,2010,-10,35,20.82
T2M,2010,-10,35.625,22.74
T2M,2010,-10.5,33.125,22.77
T2M,2010,-10.5,33.75,18.91
T2M,2010,-10.5,34.375,27.03
T2M,2010,-10.5,35,23.04
T2M,2010,-10.5,35.625,21.71
T2M,2010,-11,33.125,23.43
T2M,2010,-11,33.75,19.62
T2M,2010,-11,34.375,26.49
T2M,2010,-11,35,22.11
T2M,2010,-11,35.625,22.23
T2M,2010,-11.5,33.125,22.69
T2M,2010,-11.5,33.75,19.57
T2M,2010,-11.5,34.375,26.49
T2M,2010,-11.5,35,23.48
T2M,2010,-11.5,35.625,23.37
T2M,2010,-12,33.125,21.37
T2M,2010,-12,33.75,19.82
T2M,2010,-12,34.375,26.48
T2M,2010,-12,35,24.49
T2M,2010,-12,35.625,22.39
T2M,2010,-12.5,33.125,20.98
T2M,2010,-12.5,33.75,20.91
T2M,2010,-12.5,34.375,26.63
T2M,2010,-12.5,35,23.61
T2M,2010,-12.5,35.625,20.57
T2M,2010,-13,33.125,21.33
T2M,2010,-13,33.75,21.31
T2M,2010,-13,34.375,26.62
T2M,2010,-13,35,22.8
T2M,2010,-13,35.625,19.75
T2M,2010,-13.5,33.125,21.44
T2M,2010,-13.5,33.75,20.65
T2M,2010,-13.5,34.375,26.1
T2M,2010,-13.5,35,23.79
T2M,2010,-13.5,35.625,20.91
T2M,2010,-14,33.125,21.82
T2M,2010,-14,33.75,20.52
T2M,2010,-14,34.375,22.38
T2M,2010,-14,35,24.51
T2M,2010,-14,35.625,21.7
T2M,2010,-14.5,33.125,23.23
T2M,2010,-14.5,33.75,20.4
T2M,2010,-14.5,34.375,19.29
T2M,2010,-14.5,35,24.05
T2M,2010,-14.5,35.625,22.42
T2M,2010,-15,33.125,24.73
T2M,2010,-15,33.75,21.68
T2M,2010,-15,34.375,19.74
T2M,2010,-15,35,22.79
T2M,2010,-15,35.625,23.61
T2M,2010,-15.5,33.125,25.27
T2M,2010,-15.5,33.75,24.34
T2M,2010,-15.5,34.375,21.84
T2M,2010,-15.5,35,23.29
T2M,2010,-15.5,35.625,23.17
T2M,2010,-16,33.125,25.8
T2M,2010,-16,33.75,25.92
T2M,2010,-16,34.375,25.35
T2M,2010,-16,35,23.99
T2M,2010,-16,35.625,21.26
T2M,2010,-16.5,33.125,25.94
T2M,2010,-16.5,33.75,26.22
T2M,2010,-16.5,34.375,26.14
T2M,2010,-16.5,35,26.44
T2M,2010,-16.5,35.625,24.35
T2M,2010,-17,33.125,24.92
T2M,2010,-17,33.75,25.02
T2M,2010,-17,34.375,26.33
T2M,2010,-17,35,26.49
T2M,2010,-17,35.625,25.55
T2M,2010,-9.5,33.125,19.47
T2M,2010,-9.5,33.75,21.25
T2M,2010,-9.5,34.375,18.24
T2M,2010,-9.5,35,17.75
T2M,2010,-9.5,35.625,23.3
T2M,2011,-10,33.125,21.12
T2M,2011,-10,33.75,22.59
T2M,2011,-10,34.375,24.9
T2M,2011,-10,35,20.37
T2M,2011,-10,35.625,22.26
T2M,2011,-10.5,33.125,22.38
T2M,2011,-10.5,33.75,18.56
T2M,2011,-10.5,34.375,26.71
T2M,2011,-10.5,35,22.65
T2M,2011,-10.5,35.625,21.35
T2M,2011,-11,33.125,23.15
T2M,2011,-11,33.75,19.27
T2M,2011,-11,34.375,26.28
T2M,2011,-11,35,21.83
T2M,2011,-11,35.625,21.87
T2M,2011,-11.5,33.125,22.48
T2M,2011,-11.5,33.75,19.26
T2M,2011,-11.5,34.375,26.28
T2M,2011,-11.5,35,23.17
T2M,2011,-11.5,35.625,22.98
T2M,2011,-12,33.125,20.94
T2M,2011,-12,33.75,19.5
T2M,2011,-12,34.375,26.31
T2M,2011,-12,35,24.2
T2M,2011,-12,35.625,22.13
T2M,2011,-12.5,33.125,20.4
T2M,2011,-12.5,33.75,20.44
T2M,2011,-12.5,34.375,26.4
T2M,2011,-12.5,35,23.32
T2M,2011,-12.5,35.625,20.49
T2M,2011,-13,33.125,20.73
T2M,2011,-13,33.75,20.73
T2M,2011,-13,34.375,26.35
T2M,2011,-13,35,22.56
T2M,2011,-13,35.625,19.63
T2M,2011,-13.5,33.125,20.81
T2M,2011,-13.5,33.75,20.15
T2M,2011,-13.5,34.375,25.8
T2M,2011,-13.5,35,23.54
T2M,2011,-13.5,35.625,20.62
T2M,2011,-14,33.125,21.05
T2M,2011,-14,33.75,19.98
T2M,2011,-14,34.375,21.95
T2M,2011,-14,35,24.26
T2M,2011,-14,35.625,21.37
T2M,2011,-14.5,33.125,22.52
T2M,2011,-14.5,33.75,19.72
T2M,2011,-14.5,34.375,18.66
T2M,2011,-14.5,35,23.61
T2M,2011,-14.5,35.625,22.13
T2M,2011,-15,33.125,24
T2M,2011,-15,33.75,21
T2M,2011,-15,34.375,19.02
T2M,2011,-15,35,22.17
T2M,2011,-15,35.625,23.12
T2M,2011,-15.5,33.125,24.42
T2M,2011,-15.5,33.75,23.7
T2M,2011,-15.5,34.375,21.22
T2M,2011,-15.5,35,22.63
T2M,2011,-15.5,35.625,22.59
T2M,2011,-16,33.125,24.95
T2M,2011,-16,33.75,25.17
T2M,2011,-16,34.375,24.77
T2M,2011,-16,35,23.47
T2M,2011,-16,35.625,20.86
T2M,2011,-16.5,33.125,25.11
T2M,2011,-16.5,33.75,25.46
T2M,2011,-16.5,34.375,25.47
T2M,2011,-16.5,35,25.84
T2M,2011,-16.5,35.625,23.79
T2M,2011,-17,33.125,24.2
T2M,2011,-17,33.75,24.34
T2M,2011,-17,34.375,25.65
T2M,2011,-17,35,25.79
T2M,2011,-17,35.625,24.92
T2M,2011,-9.5,33.125,19.17
T2M,2011,-9.5,33.75,20.87
T2M,2011,-9.5,34.375,17.93
T2M,2011,-9.5,35,17.5
T2M,2011,-9.5,35.625,22.59
T2M,2012,-10,33.125,21.48
T2M,2012,-10,33.75,22.83
T2M,2012,-10,34.375,25.05
T2M,2012,-10,35,20.51
T2M,2012,-10,35.625,22.41
T2M,2012,-10.5,33.125,22.66
T2M,2012,-10.5,33.75,18.72
T2M,2012,-10.5,34.375,27.01
T2M,2012,-10.5,35,22.86
T2M,2012,-10.5,35.625,21.51
T2M,2012,-11,33.125,23.38
T2M,2012,-11,33.75,19.43
T2M,2012,-11,34.375,26.44
T2M,2012,-11,35,22.12
T2M,2012,-11,35.625,22.4
T2M,2012,-11.5,33.125,22.56
T2M,2012,-11.5,33.75,19.4
T2M,2012,-11.5,34.375,26.44
T2M,2012,-11.5,35,23.52
T2M,2012,-11.5,35.625,23.77
T2M,2012,-12,33.125,21.07
T2M,2012,-12,33.75,19.62
T2M,2012,-12,34.375,26.37
T2M,2012,-12,35,24.61
T2M,2012,-12,35.625,22.88
T2M,2012,-12.5,33.125,20.57
T2M,2012,-12.5,33.75,20.61
T2M,2012,-12.5,34.375,26.46
T2M,2012,-12.5,35,23.51
T2M,2012,-12.5,35.625,20.81
T2M,2012,-13,33.125,20.98
T2M,2012,-13,33.75,20.96
T2M,2012,-13,34.375,26.46
T2M,2012,-13,35,22.55
T2M,2012,-13,35.625,19.81
T2M,2012,-13.5,33.125,21.21
T2M,2012,-13.5,33.75,20.43
T2M,2012,-13.5,34.375,25.94
T2M,2012,-13.5,35,23.53
T2M,2012,-13.5,35.625,20.83
T2M,2012,-14,33.125,21.55
T2M,2012,-14,33.75,20.31
T2M,2012,-14,34.375,22.22
T2M,2012,-14,35,24.41
T2M,2012,-14,35.625,21.59
T2M,2012,-14.5,33.125,23.11
T2M,2012,-14.5,33.75,20.14
T2M,2012,-14.5,34.375,19
T2M,2012,-14.5,35,23.96
T2M,2012,-14.5,35.625,22.4
T2M,2012,-15,33.125,24.69
T2M,2012,-15,33.75,21.5
T2M,2012,-15,34.375,19.51
T2M,2012,-15,35,22.73
T2M,2012,-15,35.625,23.55
T2M,2012,-15.5,33.125,25.14
T2M,2012,-15.5,33.75,24.23
T2M,2012,-15.5,34.375,21.76
T2M,2012,-15.5,35,23.24
T2M,2012,-15.5,35.625,23.07
T2M,2012,-16,33.125,25.56
T2M,2012,-16,33.75,25.73
T2M,2012,-16,34.375,25.29
T2M,2012,-16,35,23.96
T2M,2012,-16,35.625,21.2
T2M,2012,-16.5,33.125,25.69
T2M,2012,-16.5,33.75,26.02
T2M,2012,-16.5,34.375,25.97
T2M,2012,-16.5,35,26.29
T2M,2012,-16.5,35.625,24.15
T2M,2012,-17,33.125,24.75
T2M,2012,-17,33.75,24.92
T2M,2012,-17,34.375,26.25
T2M,2012,-17,35,26.31
T2M,2012,-17,35.625,25.27
T2M,2012,-9.5,33.125,19.29
T2M,2012,-9.5,33.75,21
T2M,2012,-9.5,34.375,17.88
T2M,2012,-9.5,35,17.5
T2M,2012,-9.5,35.625,22.88
T2M,2013,-10,33.125,21.96
T2M,2013,-10,33.75,23.13
T2M,2013,-10,34.375,25.26
T2M,2013,-10,35,20.82
T2M,2013,-10,35.625,22.82
T2M,2013,-10.5,33.125,23.08
T2M,2013,-10.5,33.75,19.01
T2M,2013,-10.5,34.375,27.14
T2M,2013,-10.5,35,23.16
T2M,2013,-10.5,35.625,21.73
T2M,2013,-11,33.125,23.81
T2M,2013,-11,33.75,19.64
T2M,2013,-11,34.375,26.53
T2M,2013,-11,35,22.29
T2M,2013,-11,35.625,22.5
T2M,2013,-11.5,33.125,23.2
T2M,2013,-11.5,33.75,19.65
T2M,2013,-11.5,34.375,26.49
T2M,2013,-11.5,35,23.64
T2M,2013,-11.5,35.625,23.91
T2M,2013,-12,33.125,21.72
T2M,2013,-12,33.75,19.79
T2M,2013,-12,34.375,26.37
T2M,2013,-12,35,24.86
T2M,2013,-12,35.625,23.17
T2M,2013,-12.5,33.125,20.95
T2M,2013,-12.5,33.75,20.68
T2M,2013,-12.5,34.375,26.38
T2M,2013,-12.5,35,23.9
T2M,2013,-12.5,35.625,21.36
T2M,2013,-13,33.125,21.12
T2M,2013,-13,33.75,20.88
T2M,2013,-13,34.375,26.36
T2M,2013,-13,35,22.88
T2M,2013,-13,35.625,20.44
T2M,2013,-13.5,33.125,21.28
T2M,2013,-13.5,33.75,20.39
T2M,2013,-13.5,34.375,25.88
T2M,2013,-13.5,35,23.74
T2M,2013,-13.5,35.625,21.44
T2M,2013,-14,33.125,21.58
T2M,2013,-14,33.75,20.29
T2M,2013,-14,34.375,22.18
T2M,2013,-14,35,24.44
T2M,2013,-14,35.625,22.05
T2M,2013,-14.5,33.125,22.98
T2M,2013,-14.5,33.75,20.05
T2M,2013,-14.5,34.375,18.95
T2M,2013,-14.5,35,23.9
T2M,2013,-14.5,35.625,22.51
T2M,2013,-15,33.125,24.41
T2M,2013,-15,33.75,21.14
T2M,2013,-15,34.375,19.16
T2M,2013,-15,35,22.33
T2M,2013,-15,35.625,23.23
T2M,2013,-15.5,33.125,24.73
T2M,2013,-15.5,33.75,23.8
T2M,2013,-15.5,34.375,21.14
T2M,2013,-15.5,35,22.43
T2M,2013,-15.5,35.625,22.43
T2M,2013,-16,33.125,24.98
T2M,2013,-16,33.75,25.16
T2M,2013,-16,34.375,24.61
T2M,2013,-16,35,23.3
T2M,2013,-16,35.625,20.61
T2M,2013,-16.5,33.125,24.96
T2M,2013,-16.5,33.75,25.33
T2M,2013,-16.5,34.375,25.38
T2M,2013,-16.5,35,25.68
T2M,2013,-16.5,35.625,23.49
T2M,2013,-17,33.125,23.97
T2M,2013,-17,33.75,24.27
T2M,2013,-17,34.375,25.6
T2M,2013,-17,35,25.61
T2M,2013,-17,35.625,24.55
T2M,2013,-9.5,33.125,19.75
T2M,2013,-9.5,33.75,21.32
T2M,2013,-9.5,34.375,18.25
T2M,2013,-9.5,35,17.74
T2M,2013,-9.5,35.625,23.24
T2M,2014,-10,33.125,21.07
T2M,2014,-10,33.75,22.7
T2M,2014,-10,34.375,25.08
T2M,2014,-10,35,20.52
T2M,2014,-10,35.625,22.34
T2M,2014,-10.5,33.125,22.18
T2M,2014,-10.5,33.75,18.71
T2M,2014,-10.5,34.375,27.02
T2M,2014,-10.5,35,22.8
T2M,2014,-10.5,35.625,21.44
T2M,2014,-11,33.125,22.93
T2M,2014,-11,33.75,19.46
T2M,2014,-11,34.375,26.5
T2M,2014,-11,35,21.92
T2M,2014,-11,35.625,22
T2M,2014,-11.5,33.125,22.19
T2M,2014,-11.5,33.75,19.43
T2M,2014,-11.5,34.375,26.5
T2M,2014,-11.5,35,23.29
T2M,2014,-11.5,35.625,23.18
T2M,2014,-12,33.125,20.96
T2M,2014,-12,33.75,19.72
T2M,2014,-12,34.375,26.51
T2M,2014,-12,35,24.38
T2M,2014,-12,35.625,22.27
T2M,2014,-12.5,33.125,20.53
T2M,2014,-12.5,33.75,20.7
T2M,2014,-12.5,34.375,26.64
T2M,2014,-12.5,35,23.54
T2M,2014,-12.5,35.625,20.69
T2M,2014,-13,33.125,20.7
T2M,2014,-13,33.75,21.01
T2M,2014,-13,34.375,26.61
T2M,2014,-13,35,22.75
T2M,2014,-13,35.625,20.02
T2M,2014,-13.5,33.125,20.81
T2M,2014,-13.5,33.75,20.5
T2M,2014,-13.5,34.375,26.08
T2M,2014,-13.5,35,23.75
T2M,2014,-13.5,35.625,21.14
T2M,2014,-14,33.125,21.23
T2M,2014,-14,33.75,20.23
T2M,2014,-14,34.375,22.22
T2M,2014,-14,35,24.56
T2M,2014,-14,35.625,21.9
T2M,2014,-14.5,33.125,22.62
T2M,2014,-14.5,33.75,19.91
T2M,2014,-14.5,34.375,19.03
T2M,2014,-14.5,35,24.03
T2M,2014,-14.5,35.625,22.63
T2M,2014,-15,33.125,24.35
T2M,2014,-15,33.75,21.33
T2M,2014,-15,34.375,19.44
T2M,2014,-15,35,22.7
T2M,2014,-15,35.625,23.6
T2M,2014,-15.5,33.125,24.9
T2M,2014,-15.5,33.75,24.05
T2M,2014,-15.5,34.375,21.62
T2M,2014,-15.5,35,23.19
T2M,2014,-15.5,35.625,23.04
T2M,2014,-16,33.125,25.16
T2M,2014,-16,33.75,25.38
T2M,2014,-16,34.375,24.96
T2M,2014,-16,35,23.78
T2M,2014,-16,35.625,21.12
T2M,2014,-16.5,33.125,25.16
T2M,2014,-16.5,33.75,25.49
T2M,2014,-16.5,34.375,25.53
T2M,2014,-16.5,35,26.04
T2M,2014,-16.5,35.625,24.09
T2M,2014,-17,33.125,24.14
T2M,2014,-17,33.75,24.28
T2M,2014,-17,34.375,25.63
T2M,2014,-17,35,25.91
T2M,2014,-17,35.625,25.15
T2M,2014,-9.5,33.125,18.84
T2M,2014,-9.5,33.75,20.87
T2M,2014,-9.5,34.375,18.09
T2M,2014,-9.5,35,17.6
T2M,2014,-9.5,35.625,22.53
T2M,2015,-10,33.125,22.36
T2M,2015,-10,33.75,23.14
T2M,2015,-10,34.375,25.35
T2M,2015,-10,35,20.7
T2M,2015,-10,35.625,22.66
T2M,2015,-10.5,33.125,23.1
T2M,2015,-10.5,33.75,19.01
T2M,2015,-10.5,34.375,27.44
T2M,2015,-10.5,35,23.01
T2M,2015,-10.5,35.625,21.61
T2M,2015,-11,33.125,23.87
T2M,2015,-11,33.75,19.92
T2M,2015,-11,34.375,26.71
T2M,2015,-11,35,22.17
T2M,2015,-11,35.625,22.36
T2M,2015,-11.5,33.125,23.13
T2M,2015,-11.5,33.75,19.74
T2M,2015,-11.5,34.375,26.66
T2M,2015,-11.5,35,23.59
T2M,2015,-11.5,35.625,23.75
T2M,2015,-12,33.125,21.8
T2M,2015,-12,33.75,20.01
T2M,2015,-12,34.375,26.61
T2M,2015,-12,35,24.73
T2M,2015,-12,35.625,22.88
T2M,2015,-12.5,33.125,21.42
T2M,2015,-12.5,33.75,21.23
T2M,2015,-12.5,34.375,26.72
T2M,2015,-12.5,35,23.7
T2M,2015,-12.5,35.625,21
T2M,2015,-13,33.125,21.64
T2M,2015,-13,33.75,21.69
T2M,2015,-13,34.375,26.77
T2M,2015,-13,35,22.77
T2M,2015,-13,35.625,20.13
T2M,2015,-13.5,33.125,21.6
T2M,2015,-13.5,33.75,20.98
T2M,2015,-13.5,34.375,26.25
T2M,2015,-13.5,35,23.73
T2M,2015,-13.5,35.625,21.14
T2M,2015,-14,33.125,21.76
T2M,2015,-14,33.75,20.68
T2M,2015,-14,34.375,22.46
T2M,2015,-14,35,24.61
T2M,2015,-14,35.625,21.93
T2M,2015,-14.5,33.125,23.07
T2M,2015,-14.5,33.75,20.19
T2M,2015,-14.5,34.375,19.16
T2M,2015,-14.5,35,24.03
T2M,2015,-14.5,35.625,22.64
T2M,2015,-15,33.125,24.38
T2M,2015,-15,33.75,21.52
T2M,2015,-15,34.375,19.41
T2M,2015,-15,35,22.55
T2M,2015,-15,35.625,23.46
T2M,2015,-15.5,33.125,24.93
T2M,2015,-15.5,33.75,24.13
T2M,2015,-15.5,34.375,21.75
T2M,2015,-15.5,35,22.79
T2M,2015,-15.5,35.625,22.76
T2M,2015,-16,33.125,25.59
T2M,2015,-16,33.75,25.69
T2M,2015,-16,34.375,25.51
T2M,2015,-16,35,23.89
T2M,2015,-16,35.625,21.22
T2M,2015,-16.5,33.125,25.56
T2M,2015,-16.5,33.75,26.05
T2M,2015,-16.5,34.375,26.2
T2M,2015,-16.5,35,26.53
T2M,2015,-16.5,35.625,24.41
T2M,2015,-17,33.125,24.56
T2M,2015,-17,33.75,25.02
T2M,2015,-17,34.375,26.49
T2M,2015,-17,35,26.66
T2M,2015,-17,35.625,25.65
T2M,2015,-9.5,33.125,19.92
T2M,2015,-9.5,33.75,21.37
T2M,2015,-9.5,34.375,18.3
T2M,2015,-9.5,35,17.76
T2M,2015,-9.5,35.625,23.07
T2M,2016,-10,33.125,21.86
T2M,2016,-10,33.75,22.78
T2M,2016,-10,34.375,25.24
T2M,2016,-10,35,20.61
T2M,2016,-10,35.625,22.47
T2M,2016,-10.5,33.125,22.49
T2M,2016,-10.5,33.75,18.6
T2M,2016,-10.5,34.375,27.27
T2M,2016,-10.5,35,22.83
T2M,2016,-10.5,35.625,21.37
T2M,2016,-11,33.125,23.4
T2M,2016,-11,33.75,19.53
T2M,2016,-11,34.375,26.61
T2M,2016,-11,35,22
T2M,2016,-11,35.625,22.07
T2M,2016,-11.5,33.125,22.9
T2M,2016,-11.5,33.75,19.49
T2M,2016,-11.5,34.375,26.68
T2M,2016,-11.5,35,23.54
T2M,2016,-11.5,35.625,23.56
T2M,2016,-12,33.125,21.81
T2M,2016,-12,33.75,19.9
T2M,2016,-12,34.375,26.68
T2M,2016,-12,35,24.67
T2M,2016,-12,35.625,22.77
T2M,2016,-12.5,33.125,21.45
T2M,2016,-12.5,33.75,21.15
T2M,2016,-12.5,34.375,26.74
T2M,2016,-12.5,35,23.64
T2M,2016,-12.5,35.625,20.98
T2M,2016,-13,33.125,21.83
T2M,2016,-13,33.75,21.67
T2M,2016,-13,34.375,26.86
T2M,2016,-13,35,22.87
T2M,2016,-13,35.625,20.11
T2M,2016,-13.5,33.125,22.04
T2M,2016,-13.5,33.75,21.11
T2M,2016,-13.5,34.375,26.48
T2M,2016,-13.5,35,24.07
T2M,2016,-13.5,35.625,21.49
T2M,2016,-14,33.125,22.44
T2M,2016,-14,33.75,20.93
T2M,2016,-14,34.375,22.82
T2M,2016,-14,35,25.02
T2M,2016,-14,35.625,22.48
T2M,2016,-14.5,33.125,24
T2M,2016,-14.5,33.75,20.63
T2M,2016,-14.5,34.375,19.38
T2M,2016,-14.5,35,24.5
T2M,2016,-14.5,35.625,22.99
T2M,2016,-15,33.125,25.64
T2M,2016,-15,33.75,22.33
T2M,2016,-15,34.375,19.86
T2M,2016,-15,35,23.09
T2M,2016,-15,35.625,24.08
T2M,2016,-15.5,33.125,26.24
T2M,2016,-15.5,33.75,25.16
T2M,2016,-15.5,34.375,22.68
T2M,2016,-15.5,35,23.67
T2M,2016,-15.5,35.625,23.48
T2M,2016,-16,33.125,26.68
T2M,2016,-16,33.75,26.71
T2M,2016,-16,34.375,26.42
T2M,2016,-16,35,24.57
T2M,2016,-16,35.625,21.77
T2M,2016,-16.5,33.125,26.45
T2M,2016,-16.5,33.75,26.73
T2M,2016,-16.5,34.375,26.71
T2M,2016,-16.5,35,27.02
T2M,2016,-16.5,35.625,24.99
T2M,2016,-17,33.125,25.06
T2M,2016,-17,33.75,25.3
T2M,2016,-17,34.375,26.71
T2M,2016,-17,35,27.01
T2M,2016,-17,35.625,26.24
T2M,2016,-9.5,33.125,19.38
T2M,2016,-9.5,33.75,20.9
T2M,2016,-9.5,34.375,18.14
T2M,2016,-9.5,35,17.66
T2M,2016,-9.5,35.625,22.88
T2M,2017,-10,33.125,21.52
T2M,2017,-10,33.75,22.67
T2M,2017,-10,34.375,25.11
T2M,2017,-10,35,20.27
T2M,2017,-10,35.625,22.36
T2M,2017,-10.5,33.125,22.26
T2M,2017,-10.5,33.75,18.64
T2M,2017,-10.5,34.375,27.22
T2M,2017,-10.5,35,22.76
T2M,2017,-10.5,35.625,21.41
T2M,2017,-11,33.125,23.02
T2M,2017,-11,33.75,19.5
T2M,2017,-11,34.375,26.54
T2M,2017,-11,35,22.08
T2M,2017,-11,35.625,22.22
T2M,2017,-11.5,33.125,22.3
T2M,2017,-11.5,33.75,19.47
T2M,2017,-11.5,34.375,26.56
T2M,2017,-11.5,35,23.71
T2M,2017,-11.5,35.625,23.75
T2M,2017,-12,33.125,21.3
T2M,2017,-12,33.75,19.89
T2M,2017,-12,34.375,26.54
T2M,2017,-12,35,24.75
T2M,2017,-12,35.625,22.9
T2M,2017,-12.5,33.125,21.05
T2M,2017,-12.5,33.75,21.11
T2M,2017,-12.5,34.375,26.6
T2M,2017,-12.5,35,23.61
T2M,2017,-12.5,35.625,20.99
T2M,2017,-13,33.125,21.47
T2M,2017,-13,33.75,21.51
T2M,2017,-13,34.375,26.52
T2M,2017,-13,35,22.65
T2M,2017,-13,35.625,20.06
T2M,2017,-13.5,33.125,21.39
T2M,2017,-13.5,33.75,20.73
T2M,2017,-13.5,34.375,25.94
T2M,2017,-13.5,35,23.59
T2M,2017,-13.5,35.625,21.2
T2M,2017,-14,33.125,21.24
T2M,2017,-14,33.75,20.28
T2M,2017,-14,34.375,22.12
T2M,2017,-14,35,24.49
T2M,2017,-14,35.625,22.01
T2M,2017,-14.5,33.125,22.18
T2M,2017,-14.5,33.75,19.71
T2M,2017,-14.5,34.375,18.95
T2M,2017,-14.5,35,23.88
T2M,2017,-14.5,35.625,22.57
T2M,2017,-15,33.125,23.84
T2M,2017,-15,33.75,20.91
T2M,2017,-15,34.375,19.15
T2M,2017,-15,35,22.37
T2M,2017,-15,35.625,23.4
T2M,2017,-15.5,33.125,24.79
T2M,2017,-15.5,33.75,23.52
T2M,2017,-15.5,34.375,21.37
T2M,2017,-15.5,35,22.6
T2M,2017,-15.5,35.625,22.6
T2M,2017,-16,33.125,25.39
T2M,2017,-16,33.75,25.31
T2M,2017,-16,34.375,25.14
T2M,2017,-16,35,23.48
T2M,2017,-16,35.625,20.98
T2M,2017,-16.5,33.125,25.33
T2M,2017,-16.5,33.75,25.69
T2M,2017,-16.5,34.375,25.81
T2M,2017,-16.5,35,25.95
T2M,2017,-16.5,35.625,23.93
T2M,2017,-17,33.125,23.94
